song_id,artist,title,n_verses,lyrics_len,genius_ok,genius_matched_by,genius_id,genius_title,genius_artist,release_date,year,album,featured_artists,producer_artists,writer_artists,pageviews,lastfm_artist_tags,lastfm_track_tags,artist_mbid,mb_artist_name,artist_type,artist_gender,artist_country,artist_area,artist_begin,wikidata_qid,mb_artist_tags,error,wd_ok,wd_qid,wd_gender,wd_citizenship_qids,wd_instance_of,wd_occupation_qids,wd_has_inception,ab_ok,ab_danceability,ab_mood_happy,ab_mood_sad,ab_mood_aggressive,ab_mood_party,ab_mood_relaxed,ab_genre_rosamerica,ab_bpm,ab_key,primary_artist,fill_lastfm_tags,fill_type,fill_gender,fill_country,fill_area,fill_begin,fill_mb_tags,fill_err,deep_year,deep_album,deep_writers,deep_producers,wd_citizenship_labels,wd_occupation_labels,wd_instance_of_labels,release_year,decade,genres_all,genre_main,country,gender_or_group,album_final,country_fuente,genre_main_fuente,gender_or_group_fuente,release_year_fuente,writers,producers,in_train,in_test,is_misogynistic,type_sexualization,type_violence,type_hate,has_gender_stereotype,test_id,test_match_score
8886617,Verónica castro,Soñadora,10,1368,TRUE,id,8886617,Soñadora,Verónica castro,,,Mamma Mia!,[],[],[],,"[['pop', 100], ['latin', 100], ['female vocalists', 66], ['Soundtrack', 16], ['mexican', 8], ['oldies', 8], ['actress', 8], ['television host', 2], ['veronica castro', 2], ['cristian castro', 2]]",[],9a167ba2-325f-4262-90ce-6cf5e9636ba4,Verónica Castro,Person,Female,MX,Mexico,19/10/52,Q1256457,"[['latin ballad', '1']]",,TRUE,Q1256457,['female'],['Q96'],['Q5'],"['Q33999', 'Q177220', 'Q13590141', 'Q578109', 'Q55960555']",FALSE,FALSE,,,,,,,,,,,,,,,,,,,1990,20 éxitos,[],[],['México'],"['actor', 'cantante', 'presentador', 'productor de televisión', 'artista discográfico']",['ser humano'],1990,1990,"['pop', 'soundtrack', 'oldies', 'actress', 'television host', 'veronica castro', 'cristian castro', 'latin ballad']",pop,México,mujer,Mamma Mia!,api,api,api,api,,,TRUE,FALSE,NM,,,,,,
8889111,Calle 24,Mujer De Todos Mujer De Nadie,3,710,TRUE,id,8889111,Mujer De Todos Mujer De Nadie,Calle 24,04/03/23,,AMOR DE LA CALLE,[],[],"['Gianni Gastaldo', 'Cayre Marella', 'José Ramon Flórez']",,"[['Corridos tumbados', 100], ['mexico', 100], ['corridos', 16], ['latin', 16], ['corridos belicos', 8]]",[],d266087e-ba8c-4f73-b505-4e1bd69fd5c5,Daniela Romo,Person,Female,MX,Mexico,27/08/59,Q422853,"[['latin ballad', '1'], ['pop', '1']]",,TRUE,Q422853,['female'],['Q96'],['Q5'],"['Q177220', 'Q10798782', 'Q2259451', 'Q10800557', 'Q639669']",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,15 éxitos de oro,[],[],['México'],"['cantante', 'actor de televisión', 'actor de teatro', 'actor de cine', 'músico']",['ser humano'],2023,2020,"['corridos tumbados', 'corridos', 'corridos belicos', 'latin ballad', 'pop']",corridos tumbados,México,mujer,AMOR DE LA CALLE,api,api,api,api,"['Cayre Marella', 'Gianni Gastaldo', 'José Ramon Flórez']",,FALSE,TRUE,M,1,0,1,Y,T_TEST_0522,0.952
8897093,Kidd Keo,Celine,8,2172,TRUE,id,8897093,Celine,Kidd Keo,07/07/23,,,['Ghost Killer Track'],['Ghost Killer Track'],['Kidd Keo'],13087,"[['trap', 100], ['spain', 100], ['rap', 7], ['latin', 7], ['spanish', 4], ['drill', 4], ['alicante', 4], ['spanish trap', 1]]",[],19fcd920-de83-41c9-aaeb-28edd96a0719,Kidd Keo,Person,Male,ES,Spain,,,[],,FALSE,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,2016,FEAR OF THE WALKING TAPE,[],[],,,,2023,2020,"['trap', 'rap', 'drill', 'alicante', 'spanish trap']",trap,España,hombre,FEAR OF THE WALKING TAPE,api,api,api,api,['Kidd Keo'],['Ghost Killer Track'],TRUE,FALSE,NM,,,,,,
8902644,Myke Towers,CENIZAS QUEDAN,7,2029,TRUE,id,8902644,CENIZAS QUEDAN,Myke Towers,23/03/23,,LA VIDA ES UNA,[],['Tainy'],"['Myke Towers', 'Fara', 'J Batyxta', 'Tainy', 'Orlando Jovani Cepeda Matos']",,"[['Reggaeton', 100], ['puerto rico', 18], ['trap', 5], ['latin', 5], ['rap', 1], ['hip hop', 1], ['Hip-Hop', 1], ['Latin Rap', 1], ['dancehall', 1], ['pop rap', 1]]",[],d2945137-b01d-4195-9f82-64d20f8ba657,Myke Towers,Person,Male,PR,Puerto Rico,15/01/94,Q65550251,"[['latin', '1'], ['latin urban', '1'], ['reggaeton', '1'], ['trap latino', '1']]",,TRUE,Q65550251,['male'],['Q30'],['Q5'],"['Q177220', 'Q753110']",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,['Estados Unidos'],"['cantante', 'compositor de canciones']",['ser humano'],2023,2020,"['reggaeton', 'trap', 'rap', 'hip hop', 'hip-hop', 'latin rap', 'dancehall', 'pop rap', 'latin urban', 'trap latino']",reggaeton,Puerto Rico,hombre,LA VIDA ES UNA,api,api,api,api,"['Fara', 'J Batyxta', 'Myke Towers', 'Orlando Jovani Cepeda Matos', 'Tainy']",['Tainy'],TRUE,FALSE,M,1,1,0,Y,,
8912378,Maikel Delacalle & Quevedo,Mi Nena Remix,7,2633,TRUE,id,8912378,Mi Nena Remix,Maikel Delacalle,24/03/23,,CÓDIGOS,[],"['Lupion', 'Dhax']","['Maikel Delacalle', 'Quevedo']",23152,[],[],ab1d4693-41dd-44ed-9e9c-da2ff76f1a3a,Maikel Delacalle,Person,Male,ES,Spain,,,[],,FALSE,,,,,,,FALSE,,,,,,,,,,Maikel Delacalle,"[['spanish', 100], ['latin', 25], ['Hip-Hop', 16], ['spain', 16], ['trap latino', 8], ['Reggaeton', 8], ['Latin Urban', 8]]",Person,male,ES,Spain,,[],,,,,,,,,2023,2020,"['hip-hop', 'trap latino', 'reggaeton', 'latin urban']",hip-hop,España,hombre,CÓDIGOS,api,api,api,api,"['Maikel Delacalle', 'Quevedo']","['Dhax', 'Lupion']",TRUE,FALSE,M,1,0,0,Y,,
891933,Luis Miguel,Me muero por ti,4,416,TRUE,id,891933,Me muero por ti,Luis Miguel,11/09/84,,Palabra de Honor,[],[],['Honorio Herrero'],,"[['latin', 100], ['boleros', 98], ['Baladas', 51], ['spanish', 51], ['pop', 24], ['luis miguel', 15], ['mexico', 8], ['latin pop', 2], ['male vocalists', 2], ['mexican', 2]]",[],90270118-8ed0-4446-bf97-8a09b3f9e8f3,Luis Miguel,Person,Male,MX,Mexico,19/04/70,Q1069140,,,TRUE,Q1069140,['male'],['Q96'],['Q5'],"['Q177220', 'Q33999', 'Q183945', 'Q10800557', 'Q55960555', 'Q10798782', 'Q639669']",FALSE,FALSE,,,,,,,,,,,,,,,,,,,1995,"2 en 1, 2 álbumes clásicos en 1 disco compacto",[],[],['México'],"['cantante', 'actor', 'productor discográfico', 'actor de cine', 'artista discográfico', 'actor de televisión', 'músico']",['ser humano'],1984,1980,"['boleros', 'baladas', 'pop', 'luis miguel', 'latin pop']",boleros,México,hombre,Palabra de Honor,api,api,api,api,['Honorio Herrero'],,FALSE,TRUE,M,0,1,0,N,T_TEST_0040,1
8924031,Melendi,Volveremos (Himno eventual del Real Oviedo),10,1361,TRUE,id,8924031,Volveremos (Himno eventual del Real Oviedo),Melendi,01/09/06,,Yo me veo contigo,[],['Kike Eizaguirre'],"['Melendi', 'Kike Eizaguirre']",5038,"[['spanish', 100], ['pop', 92], ['Flamenco', 51], ['new flamenco', 29], ['Espanol', 9], ['rumba', 5], ['melendi', 4], ['rock', 1], ['latin', 1], ['español', 1]]",[],86d61837-890c-4d04-aeec-30d70ad77298,Melendi,Person,Male,ES,Spain,21/01/79,Q623353,,,TRUE,Q623353,['male'],['Q29'],['Q5'],"['Q488205', 'Q177220']",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,['España'],"['cantautor', 'cantante']",['ser humano'],2006,2000,"['pop', 'flamenco', 'new flamenco', 'rumba', 'melendi', 'rock']",pop,España,hombre,Yo me veo contigo,api,api,api,api,"['Kike Eizaguirre', 'Melendi']",['Kike Eizaguirre'],TRUE,FALSE,NM,,,,,,
8924306,Tatiana,Sueño Feliz,4,453,TRUE,id,8924306,Sueño Feliz,Tatiana,,,Espapirifáctico,[],['Héctor Martínez'],"['Mary Morín', 'Armando Arcos']",,"[['pop', 100], ['latin', 25], ['spanish', 17], ['female vocalists', 17], ['puta de mierda ojala y te mueras con un pinche dildo electrico atorado en tu ronosa pucha', 2], ['dance', 2], ['brazilian', 1], ['pop espanol', 1], ['National Socialistic Black Metal', 1], ['balada', 1]]",[],3e3bc3d5-3100-48b3-b232-a474ba5075a9,Tatiana,Person,Female,MX,Mexico,12/12/68,Q3516031,"[[""children's"", '1'], ['pop', '1'], ['rock', '1']]",,TRUE,Q3516031,['female'],['Q96'],['Q5'],"['Q33999', 'Q10800557', 'Q10798782', 'Q2259451', 'Q177220', 'Q947873']",FALSE,TRUE,danceable,happy,sad,not_aggressive,not_party,not_relaxed,pop,155.5624237,G# major,,,,,,,,,,,,,,['México'],"['actor', 'actor de cine', 'actor de televisión', 'actor de teatro', 'cantante', 'presentador de televisión']",['ser humano'],1968,1960,"['pop', 'puta de mierda ojala y te mueras con un pinche dildo electrico atorado en tu ronosa pucha', 'dance', 'brazilian', 'pop espanol', 'national socialistic black metal', 'balada', ""children's"", 'rock']",pop,México,mujer,Espapirifáctico,api,api,api,api,"['Armando Arcos', 'Mary Morín']",['Héctor Martínez'],TRUE,FALSE,NM,,,,,,
8928883,Peso Pluma,Con Dinero Baila el Perro,8,1183,TRUE,id,8928883,Con Dinero Baila el Perro,Peso Pluma,19/03/21,,Efectos Secundarios,[],[],['Peso Pluma'],,"[['mexico', 100], ['Reggaeton', 51], ['Corridos tumbados', 22], ['mierda', 12], ['corrido tumbado', 6], ['corridos belicos', 6], ['latin', 3], ['corridos', 1], ['REGIONAL MEXICANO', 1], ['pop', 1]]",[],75e4f8ef-34c3-44fd-8467-88a7d9599f77,Peso Pluma,Person,Male,MX,Mexico,15/06/99,Q117242724,"[['corrido tumbado', '1'], ['regional mexicano', '1']]",,TRUE,Q117242724,['male'],['Q96'],['Q5'],"['Q639669', 'Q177220', 'Q753110', 'Q183945']",FALSE,FALSE,,,,,,,,,,,,,,,,,,,2021,Efectos Secundarios,[],[],['México'],"['músico', 'cantante', 'compositor de canciones', 'productor discográfico']",['ser humano'],2021,2020,"['reggaeton', 'corridos tumbados', 'mierda', 'corrido tumbado', 'corridos belicos', 'corridos', 'regional mexicano', 'pop']",reggaeton,México,hombre,Efectos Secundarios,api,api,api,api,['Peso Pluma'],,FALSE,TRUE,M,0,0,1,Y,T_TEST_0523,0.91
8942059,Aitana,Los Ángeles,8,1139,TRUE,id,8942059,Los Ángeles,Aitana,30/03/23,,alpha,[],"['El Dandee', 'Andrés Torres']","['Aitana', 'Andrés Torres', 'El Dandee']",20847,"[['spanish', 100], ['spain', 100], ['pop', 42], ['female vocalists', 11], ['singer-songwriter', 1], ['rock', 1], ['pop rock', 1], ['latin pop', 1], ['trash pop', 1], ['electro-pop', 1]]",[],a24f2bd3-0d1b-4c03-8d91-6297ab5a2811,Aitana,Person,Female,ES,Spain,27/06/99,Q50822527,,,TRUE,Q50822527,['female'],['Q29'],['Q5'],"['Q177220', 'Q55960555', 'Q33999']",FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,['España'],"['cantante', 'artista discográfico', 'actor']",['ser humano'],2023,2020,"['pop', 'rock', 'pop rock', 'latin pop', 'trash pop', 'electro-pop']",pop,España,mujer,alpha,api,api,api,api,"['Aitana', 'Andrés Torres', 'El Dandee']","['Andrés Torres', 'El Dandee']",TRUE,FALSE,M,1,0,1,Y,,
